Code;M�diane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre grandes surfaces 2023;Nombre de sup�rettes et �pieries;Nombre boulangeries et patisseries;Nombre �coles primaires maternelles �l�mentaires;Nombre de coll�ges;Nombre de lyc�es;Nombre de m�decins g�n�ralistes;Nombre de dentistes;Nombre de pharmacies
17157;21760;25.2;17.8;9.2;20.8;15.3;0;0;0;0;0;0;0;0;0
17158;21480;11.1;22.1;18.8;23.3;19.6;3;0;1;1;0;0;0;0;0
17159;21120;25.4;13.4;12.3;16.8;20.9;0;0;0;1;0;0;0;0;0
17160;21630;25.9;7.1;6.8;9.1;19.9;0;0;0;0;0;0;0;0;0
17161;24200;30;11.5;10.3;12.4;18.6;3;3;4;3;0;0;3;3;1
17162;16490;31.6;11.2;8.3;11.9;17;0;0;0;0;0;0;0;0;0
17163;20740;18.8;18.2;14.6;17.1;23.8;0;0;0;1;0;0;0;0;0
17164;24570;28.1;13.2;9.5;12.5;22.7;0;0;2;2;0;0;2;1;1
17165;21750;19.4;18.2;10.9;17.5;23.2;0;0;0;1;0;0;0;0;0
17166;21970;16.3;20.4;15.6;21.3;20.3;0;0;0;1;0;0;0;0;0
17167;18090;22.9;16.7;12.4;17.7;19.9;0;0;0;1;0;0;0;0;0
17168;25140;33.9;8.4;9;9;18.3;1;3;7;2;0;0;5;1;2
17171;21670;22.1;18;13.2;18.4;22.5;0;0;2;1;0;0;0;0;0
17172;20110;23.6;15.3;11.8;14.5;19.4;4;1;4;1;1;0;6;0;2
17173;19330;31.6;8.8;10;12.8;25.1;0;0;0;0;0;0;0;0;0
17174;21160;16.7;19.1;15.4;19.8;22.4;0;0;0;1;0;0;0;0;0
17175;22310;17.3;18.6;14.5;22.4;20.7;0;1;0;1;0;0;0;0;0
17176;20060;28.8;6.8;10.7;4.9;30.8;0;0;0;0;0;0;0;0;0
17177;16870;18.6;17.8;10.2;17.8;23.7;0;0;0;0;0;0;0;0;0
17178;N/A - r�sultat non disponible;17.1;17.1;14.4;15.6;30.1;0;0;0;0;0;0;0;0;0
17179;23380;21.7;16.2;14.4;14.9;19.3;0;0;1;1;0;0;4;3;1
17180;N/A - r�sultat non disponible;31;13;6;11.2;24.1;0;0;0;0;0;0;0;0;0
17181;20220;19.7;22.4;11.3;20.8;16.7;0;0;0;1;0;0;0;0;0
17182;22140;13.9;20.9;13;23;21.2;0;0;0;1;0;0;0;0;0
17183;21620;21.1;16.8;12.7;18.3;21.5;0;1;0;1;0;0;0;0;0
17184;21970;17.3;22.2;11.3;20.8;22.6;0;0;0;1;0;0;0;0;0
17185;20860;22.4;12.1;11.7;14.3;23.2;1;1;3;2;0;0;2;1;1
17186;21350;10.5;25.1;13.5;25.5;20.4;0;0;0;1;0;0;0;0;0
17187;21590;26;14.2;12.3;13.7;24.8;0;0;0;1;0;0;0;0;0
17188;20570;23.2;14.2;13.8;14.3;23.6;0;0;0;1;0;0;0;0;0
17190;26610;22.8;15.1;9.9;15.8;18.5;1;1;1;2;0;0;4;1;1
17191;21330;15.3;21.9;14.4;23.7;19.7;0;0;0;1;0;0;0;0;0
17192;22880;22;18.1;13.6;17;19.4;0;2;0;1;0;0;3;0;1
17193;24490;21.7;13.9;13.5;17.4;22.2;0;1;3;2;0;0;2;2;1
17194;24060;20.4;18;12.2;18.3;22.9;1;0;1;3;2;1;2;2;1
17195;19950;31.5;10.2;10;10.4;20.5;0;1;0;0;0;0;0;0;0
17196;22470;21.2;15.9;14.9;17.1;23.2;0;0;0;1;0;0;0;0;0
17197;19800;22.7;10.3;17.4;12;18.2;5;1;5;3;1;1;17;5;3
17198;20990;13.7;23.7;11;25.9;17.8;0;0;0;0;0;0;0;0;0
17199;18030;21;19;19;19;12.5;0;0;0;0;0;0;0;0;0
17200;26650;21.6;13.3;13.1;15.4;19;4;5;3;3;1;0;10;11;2
17201;23030;11.6;23.4;12.8;26;20.4;0;0;1;1;0;0;0;0;0
17202;21150;25.2;16.9;11.7;12.7;22.5;0;1;1;1;0;0;1;0;0
17203;22920;18.4;19.2;16.3;21.7;18.1;0;1;0;0;0;0;0;0;0
17204;20330;23.2;17.1;10.5;16.5;21.5;0;1;1;1;0;0;0;0;0
17205;24110;23.3;20;11.2;21.1;21.4;0;0;0;1;1;0;0;0;0
17206;20120;26.6;12.2;10.5;12.2;23;0;0;0;0;0;0;0;0;0
17207;25540;31.7;11.9;8.3;13.9;14.1;0;2;1;1;0;0;0;0;0
17208;23260;12.5;19.6;14.2;24.7;23.8;0;0;0;1;0;0;0;0;0
17209;23280;19.3;16.2;15;15.4;21.9;0;0;1;1;0;0;0;0;0
17210;19000;22.6;14.2;11.5;12.1;20.6;0;1;0;0;0;0;0;0;0
17211;20590;23.2;9.6;13.1;13.4;17.6;0;0;2;1;1;0;3;0;1
17212;22520;23.2;16.1;7.7;18.5;18.5;0;0;0;0;0;0;0;0;0
17213;19070;26.7;12.1;13.4;20.6;16.4;0;0;0;0;0;0;0;0;0
17214;22970;15;20.6;12.4;23.6;21.3;0;0;0;1;0;0;0;0;0
17215;N/A - r�sultat non disponible;20.9;20.9;8.3;25.2;18.7;0;0;0;0;0;0;0;0;0
17216;20600;16.3;19.6;14;18.3;23.9;0;0;2;1;0;0;1;0;0
17217;20450;18.4;19.4;13.4;18.6;18.6;0;1;0;1;0;0;0;0;0
17218;21020;22.1;14;13.9;13.9;20.2;4;0;2;3;2;0;7;3;2
17219;20980;27.2;12.2;10.4;12.9;20;4;2;4;3;1;0;4;3;2
17220;22230;23.4;16.2;12.8;19.2;18.7;0;0;1;1;0;0;0;0;0
17221;20060;17.2;19.7;14.9;17.8;21.2;0;0;2;1;0;0;0;0;1
17222;26580;24.5;15.7;11.5;16.9;22.4;0;1;1;2;0;0;4;1;1
17223;20020;21.7;10.3;9.8;14.6;26.1;0;0;0;0;0;0;0;0;0
17224;19840;23.4;11.6;11.8;12.5;19.1;2;0;4;3;1;1;5;2;2
17225;23460;36.8;10.4;8.9;12.6;17;2;8;7;1;0;0;1;0;1
17226;20800;23.4;18.8;11.9;17.6;19.3;0;1;0;1;0;0;0;0;0
17227;21780;25.3;12.5;12.5;14.9;22.1;0;0;0;0;0;0;0;0;0
17228;21960;28.8;12;9.8;13;23.1;1;3;2;2;0;0;2;1;1
